trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response
154 58 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 0.75 3.0 right
155 31 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.25 3.0 left
156 257 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 0.75 3.0 left
157 274 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.75 3.0 right
158 80 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.25 3.0 left
159 77 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.5 3.0 left
160 186 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.25 3.0 left
161 336 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.25 3.0 right
162 132 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.0 3.0 left
163 121 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 3.0 3.0 right
164 252 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.5 3.0 left
165 165 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.75 3.0 right
166 206 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.0 3.0 right
167 214 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.75 3.0 left
168 196 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.5 3.0 right
169 19 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.0 3.0 left
170 304 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.25 3.0 left
171 318 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.5 3.0 right
172 231 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.0 3.0 right
173 88 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.5 3.0 right
174 136 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.25 3.0 left
175 133 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.25 3.0 right
