trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
119 270 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 1.5 3.0 1692.0 2.64040184021
120 353 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.5 3.0 3158.0 3.12472391129
121 310 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.0 3.0 -2042.0 3.27439212799
122 200 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 0.75 3.0 -558.25 2.80900096893
123 260 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.0 3.0 -946.0 3.35739898682
124 167 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.75 3.0 1752.5 2.52533102036
125 94 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 3.0 3.0 -2813.0 2.70031499863
126 115 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 3.25 3.0 -2829.5 2.5251121521
127 305 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.0 3.0 2525.0 3.09152507782
128 72 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 1.5 3.0 -1795.5 3.46658492088
129 203 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.0 3.0 3587.0 3.14180588722
130 302 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.0 3.0 1808.0 4.18435406685
131 88 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.25 3.0 2950.0 3.54142808914
132 109 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.75 3.0 -2580.5 2.72502708435
133 13 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 1.0 3.0 1474.0 4.06710600853
134 356 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.5 3.0 3626.0 3.64158916473
